,gene_name,entrez_id,ensembl_id
688,TOPBP1,11073,ENSG00000163781
689,PRSS23,11098,ENSG00000150687
690,PWP1,11137,ENSG00000136045
691,PKIG,11142,ENSG00000168734
692,CORO1A,11151,ENSG00000102879
693,LSM6,11157,ENSG00000164167
694,PSIP1,11168,ENSG00000164985
695,SLC2A6,11182,ENSG00000160326
696,NISCH,11188,ENSG00000010322
697,CHEK2,11200,ENSG00000183765
698,PRAF2,11230,ENSG00000243279
699,POLG2,11232,ENSG00000256525
700,CHP1,11261,ENSG00000187446
701,PNKP,11284,ENSG00000039650
702,ECD,11319,ENSG00000122882
703,DDX42,11325,ENSG00000198231
704,TWF2,11344,ENSG00000247596
705,CASC3,22794,ENSG00000108349
706,COG2,22796,ENSG00000135775
707,ATF5,22809,ENSG00000169136
